"filename", "language", "Dart", "HTML", "YAML", "Markdown", "C++", "Swift", "JSON", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\WORK\FlutterFlix\Code\flutterflix\lib\models\contentModel.dart", "Dart", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 134
"c:\WORK\FlutterFlix\Code\flutterflix\lib\models\episodeModel.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\WORK\FlutterFlix\Code\flutterflix\lib\models\notificationModel.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\WORK\FlutterFlix\Code\flutterflix\lib\models\trailerModel.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\atlaEpisodes.dart", "Dart", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 101
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\blackMirrorEpisodes.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\breakingBadEpisodes.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\cobraKaiEpisode.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\localdata.dart", "Dart", 680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 711
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\queenEpisodes.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\tigerEpisodes.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\trailers.dart", "Dart", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 184
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\umbrellaEpisodes.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\WORK\FlutterFlix\Code\flutterflix\lib\sampleData\witcherEpisodes.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\adminScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 1, 214
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\contentDetailScreen.dart", "Dart", 669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34, 704
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\homeScreen.dart", "Dart", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 284
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\loginScreen.dart", "Dart", 517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 555
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\navScren.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\previewScreen.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\profileScreen.dart", "Dart", 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 235
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\screens.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\WORK\FlutterFlix\Code\flutterflix\lib\screens\searchScreen.dart", "Dart", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 98
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\contentDescription.dart", "Dart", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 139
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\contentGrid.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\contentHeader.dart", "Dart", 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 327
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\contentList.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\customAppBar.dart", "Dart", 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 397
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\customVideoPlayer.dart", "Dart", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 100
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\notificationBox.dart", "Dart", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 121
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\previews.dart", "Dart", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\responsive.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\verticalIconButton.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\WORK\FlutterFlix\Code\flutterflix\lib\widgets\widgets.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\WORK\FlutterFlix\Code\flutterflix\pubspec.yaml", "YAML", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 46, 15, 82
"c:\WORK\FlutterFlix\Code\flutterflix\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\WORK\FlutterFlix\Code\flutterflix\web\index.html", "HTML", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 67
"c:\WORK\FlutterFlix\Code\flutterflix\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"Total", "-", 7404, 45, 21, 13, 1, 12, 168, 121, 84, 9, 414, 733, 9025
